t,nll,accuracy
0.0,0.255341455078125,91.0
0.03333333333333333,0.2547679696083069,91.44
0.06666666666666667,0.27585919799804687,90.58
0.1,0.3101238005638123,89.5
0.13333333333333333,0.3477706951141357,88.28
0.16666666666666666,0.4250395439147949,85.34
0.2,0.5434564182281494,81.82
0.23333333333333334,0.7061474311828613,75.44
0.26666666666666666,0.9262912109375,67.36
0.3,1.201827681159973,57.86
0.3333333333333333,1.570695287322998,45.18
0.36666666666666664,1.9711118282318114,33.22
0.4,2.349680222320557,23.5
0.43333333333333335,2.6949528869628905,17.48
0.4666666666666667,2.9564673473358156,14.46
0.5,3.180341714477539,13.58
0.5333333333333333,3.3185301780700684,12.72
0.5666666666666667,3.284011519241333,13.28
0.6,3.06534677734375,15.4
0.6333333333333333,2.6468772289276123,20.96
0.6666666666666666,2.107735409927368,32.18
0.7,1.5365995861053467,47.06
0.7333333333333333,1.071730291748047,62.14
0.7666666666666666,0.7749827701568603,72.86
0.8,0.5720750106811523,80.18
0.8333333333333334,0.4522896960258484,85.08
0.8666666666666667,0.37141363315582276,87.48
0.9,0.31563445625305175,89.54
0.9333333333333333,0.2904316948890686,90.32
0.9666666666666667,0.2681531701564789,91.32
1.0,0.25802280521392823,91.2
