t,nll,accuracy
0.0,0.09693478223979474,97.94
0.03333333333333333,0.10295119595527649,98.12
0.06666666666666667,0.12011419466733933,97.72
0.1,0.15160363461375237,97.16
0.13333333333333333,0.19799820387363434,95.82
0.16666666666666666,0.27797217874526975,93.86
0.2,0.3933969404935837,90.26
0.23333333333333334,0.6211616840362549,83.84
0.26666666666666666,0.9296340461730958,75.2
0.3,1.4145771034240722,62.4
0.3333333333333333,2.1121639823913574,45.18
0.36666666666666664,2.9388398162841796,27.64
0.4,3.789070654296875,13.2
0.43333333333333335,4.479243562316895,5.24
0.4666666666666667,4.879298872375489,2.76
0.5,4.956568208312988,1.82
0.5333333333333333,4.750295549011231,3.18
0.5666666666666667,4.231073715972901,7.3
0.6,3.543275,16.28
0.6333333333333333,2.7029501724243166,32.08
0.6666666666666666,1.906058917236328,50.52
0.7,1.2680602249145507,66.5
0.7333333333333333,0.8119362016677857,79.18
0.7666666666666666,0.5404895850181579,85.82
0.8,0.3506992497444153,91.58
0.8333333333333334,0.22699213428497314,94.92
0.8666666666666667,0.16681275961399078,96.8
0.9,0.12634998943805695,97.66
0.9333333333333333,0.10075830619335174,98.16
0.9666666666666667,0.0887143749833107,98.16
1.0,0.07945072392225265,98.42
