t,nll,accuracy
0.0,0.4271318694114685,87.26
0.03333333333333333,0.43658585782051085,86.78
0.06666666666666667,0.4784483764648437,86.62
0.1,0.5493280279159546,83.54
0.13333333333333333,0.668359494304657,80.06
0.16666666666666666,0.8175285102844239,76.04
0.2,1.0613842947006225,68.84
0.23333333333333334,1.404479800605774,60.26
0.26666666666666666,1.903402910232544,47.92
0.3,2.5021434692382813,34.0
0.3333333333333333,3.271597162628174,22.3
0.36666666666666664,4.15391732711792,10.8
0.4,4.927455281829834,5.18
0.43333333333333335,5.414789566802979,2.64
0.4666666666666667,5.6321885314941404,2.12
0.5,5.693838452911377,1.7
0.5333333333333333,5.558990965270996,2.06
0.5666666666666667,5.228663411712646,3.44
0.6,4.657039717102051,6.46
0.6333333333333333,3.957618155670166,12.8
0.6666666666666666,3.160023076629639,23.08
0.7,2.436032627105713,36.02
0.7333333333333333,1.843139493560791,48.92
0.7666666666666666,1.3784310653686525,60.76
0.8,1.022429568862915,69.46
0.8333333333333334,0.8030846044540405,76.56
0.8666666666666667,0.6358882486343383,81.2
0.9,0.5354438659667968,84.08
0.9333333333333333,0.4800236174106598,86.06
0.9666666666666667,0.43710292258262634,86.9
1.0,0.4249624463558197,87.38
