t,nll,accuracy
0.0,0.013391730242967605,99.7
0.03333333333333333,0.01363138393163681,99.64
0.06666666666666667,0.013791148236393928,99.8
0.1,0.02156732178926468,99.5
0.13333333333333333,0.02747706356048584,99.48
0.16666666666666666,0.03365551027059555,99.28
0.2,0.051961480236053466,98.7
0.23333333333333334,0.081119779920578,97.86
0.26666666666666666,0.11487416853904724,96.92
0.3,0.18308080101013183,94.96
0.3333333333333333,0.3056512300491333,91.2
0.36666666666666664,0.5340748085021972,83.7
0.4,0.9239860599517822,70.94
0.43333333333333335,1.505243000793457,49.48
0.4666666666666667,2.1097122146606444,26.1
0.5,2.441669744873047,16.9
0.5333333333333333,2.242646018218994,22.88
0.5666666666666667,1.6870832983016968,41.28
0.6,1.0804590150833129,64.34
0.6333333333333333,0.635414019393921,80.42
0.6666666666666666,0.36695283279418944,89.3
0.7,0.23319401216506958,93.16
0.7333333333333333,0.1506733072757721,96.24
0.7666666666666666,0.09721802277565002,97.68
0.8,0.06533560869693757,98.56
0.8333333333333334,0.04571718749403954,99.12
0.8666666666666667,0.03207320668101311,99.42
0.9,0.025037614446878433,99.58
0.9333333333333333,0.02148852950334549,99.56
0.9666666666666667,0.016311123323440552,99.74
1.0,0.015001976025104523,99.64
