t,nll,accuracy
0.0,0.017904171246290207,99.54
0.03333333333333333,0.023719968223571777,99.28
0.06666666666666667,0.027829531526565553,99.34
0.1,0.030527814257144927,99.16
0.13333333333333333,0.044047804671525956,98.74
0.16666666666666666,0.060215638518333434,98.3
0.2,0.09432607138156891,97.04
0.23333333333333334,0.13613873109817504,95.46
0.26666666666666666,0.23791399898529053,92.42
0.3,0.3805187952041626,87.44
0.3333333333333333,0.6594801585197448,78.28
0.36666666666666664,1.0827011909484863,64.12
0.4,1.6277005477905273,46.38
0.43333333333333335,2.2846637161254884,29.56
0.4666666666666667,2.8116917320251464,18.48
0.5,3.0012502326965333,15.42
0.5333333333333333,2.8086924758911134,18.52
0.5666666666666667,2.3417598134994506,28.48
0.6,1.6035627983093261,47.68
0.6333333333333333,1.073067316055298,64.58
0.6666666666666666,0.6557754516601563,78.3
0.7,0.38617627277374267,86.56
0.7333333333333333,0.24452552289962767,91.92
0.7666666666666666,0.14722589735984803,95.14
0.8,0.10003237128257751,96.86
0.8333333333333334,0.06522321691513061,98.0
0.8666666666666667,0.04651269156932831,98.58
0.9,0.03205923461914063,99.06
0.9333333333333333,0.025304523229599,99.28
0.9666666666666667,0.02301112143397331,99.46
1.0,0.01973170581459999,99.58
