t,nll,accuracy
0.0,1.2460906956672668,65.14
0.03333333333333333,1.28240752658844,63.96
0.06666666666666667,1.3322390785217286,62.64
0.1,1.4219331504821777,60.64
0.13333333333333333,1.5805864542007446,57.2
0.16666666666666666,1.8022654823303224,51.74
0.2,2.146785892486572,42.66
0.23333333333333334,2.5971702659606932,32.28
0.26666666666666666,3.14886551361084,21.78
0.3,3.732745788192749,13.44
0.3333333333333333,4.31953465499878,8.26
0.36666666666666664,4.846798252868652,3.94
0.4,5.289773748779297,2.32
0.43333333333333335,5.6082446525573735,1.72
0.4666666666666667,5.8056822174072265,1.64
0.5,5.947713961029053,1.54
0.5333333333333333,5.917270826721191,1.4
0.5666666666666667,5.76094660949707,1.9
0.6,5.525758323669433,2.64
0.6333333333333333,5.152908548736573,4.24
0.6666666666666666,4.603949909973145,7.18
0.7,3.9931948837280276,12.58
0.7333333333333333,3.3105971630096436,20.54
0.7666666666666666,2.7219947563171387,30.5
0.8,2.250954602813721,40.86
0.8333333333333334,1.8935880603790283,48.82
0.8666666666666667,1.6175000122070313,55.8
0.9,1.4614429962158204,59.9
0.9333333333333333,1.3432020874023438,62.28
0.9666666666666667,1.2708502754211426,64.42
1.0,1.2513275485992432,64.58
