t,nll,accuracy
0.0,0.20319151706695557,94.74
0.03333333333333333,0.2179379448890686,94.56
0.06666666666666667,0.24004186074733735,94.04
0.1,0.27967629766464236,93.02
0.13333333333333333,0.36303293414115906,90.56
0.16666666666666666,0.4608846177101135,87.5
0.2,0.6160643327713012,83.66
0.23333333333333334,0.872211388015747,76.38
0.26666666666666666,1.2127913887023927,66.52
0.3,1.7468281162261963,52.62
0.3333333333333333,2.4358424980163575,37.84
0.36666666666666664,3.2798598110198975,20.64
0.4,4.09469965019226,9.62
0.43333333333333335,4.756058083343506,4.3
0.4666666666666667,5.19105767364502,2.0
0.5,5.278481548309326,1.52
0.5333333333333333,5.100746603393555,2.14
0.5666666666666667,4.675343212890625,3.9
0.6,4.062014361572266,9.2
0.6333333333333333,3.2683250007629394,20.82
0.6666666666666666,2.519999642944336,34.6
0.7,1.7812012935638428,52.0
0.7333333333333333,1.2412705169677734,65.36
0.7666666666666666,0.8425333017349244,76.48
0.8,0.591512156867981,83.96
0.8333333333333334,0.4260246300697327,88.88
0.8666666666666667,0.32219433851242063,91.62
0.9,0.2518104184985161,94.12
0.9333333333333333,0.21209094566106795,94.98
0.9666666666666667,0.19137104982733727,95.36
1.0,0.17827925453186036,95.58
